trade_id,trade_date,settlement_date,security_id,trade_type,par_amount,price
T1042,2025-08-20,2025-08-22,9G5QIVWML,BUY,5100000,89.5708
T1013,2025-03-16,2025-03-18,QZMZEQYUV,BUY,3300000,98.605
T1008,2025-02-17,2025-02-19,CUME7DYT1,BUY,3100000,99.9861
T1004,2025-01-24,2025-01-26,T4Q2CGF9M,SELL,4000000,103.6925
T1001,2025-01-20,2025-01-22,77AC83R7N,BUY,7500000,101.7134
T1069,2025-12-16,2025-12-18,M851Y65ZE,BUY,6000000,101.3234
T1048,2025-09-11,2025-09-13,SQUBO2P2A,BUY,2600000,101.4519
T1065,2025-11-17,2025-11-19,GH963PM7A,SELL,4000000,101.0622
T1047,2025-09-15,2025-09-17,XWRWGY7W4,MATURITY,15200000,100.0
T1073,2025-05-14,2025-05-16,ZZ48Q1MM7,BUY,2500000,99.923
T1012,2025-03-15,2025-03-17,RCMQ9MYM5,MATURITY,13400000,100.0
T1045,2025-08-13,2025-08-15,1AMUISU25,SELL,2000000,103.4796
T1041,2025-07-15,2025-07-17,PAN8DGGZO,SELL,3000000,102.9287
T1038,2025-07-22,2025-07-24,BU1B58UOJ,BUY,1900000,100.5697
T1003,2025-01-08,2025-01-10,MBL9ZSN6D,BUY,3000000,96.7158
T1053,2025-10-11,2025-10-13,1060VXN0Z,BUY,7300000,99.7807
T1055,2025-10-09,2025-10-11,EPS5OVW1R,BUY,16400000,97.3185
T1017,2025-03-06,2025-03-08,RVV4PF374,SELL,2200000,87.176
T1023,2025-04-11,2025-04-13,TFYI3F2JS,SELL,4000000,100.1776
T1056,2025-10-17,2025-10-19,70PTTP6WP,BUY,16400000,96.9504
T1014,2025-03-15,2025-03-17,BRN4YWM4W,BUY,2400000,98.3847
T1057,2025-10-20,2025-10-22,Q14AFA9CM,BUY,16000000,98.204
T1009,2025-02-22,2025-02-24,ZXE7H13LL,BUY,1900000,100.0315
T1015,2025-03-11,2025-03-13,JL7ZH6V32,BUY,6900000,96.0137
T1059,2025-10-21,2025-10-23,UDV04Q028,SELL,4000000,98.3654
T1035,2025-06-08,2025-06-10,BRN4YWM4W,SELL,2400000,98.5832
T1028,2025-05-10,2025-05-12,MBL9ZSN6D,SELL,4000000,95.7765
T1044,2025-08-19,2025-08-21,M851Y65ZE,BUY,2600000,99.6403
T1052,2025-09-15,2025-09-17,MBL9ZSN6D,SELL,4000000,95.5207
T1031,2025-06-05,2025-06-07,3QHXPR1U3,BUY,1500000,98.0261
T1067,2025-12-18,2025-12-20,IQ9KFUKG1,MATURITY,4900000,100.0
T1027,2025-05-13,2025-05-15,JCEEYST39,SELL,4000000,95.0065
T1024,2025-05-14,2025-05-16,TX6WM71BU,BUY,5100000,97.4566
T1021,2025-04-03,2025-04-05,GWIADZLNM,BUY,2500000,99.5436
T1011,2025-02-16,2025-02-18,3QHXPR1U3,SELL,4000000,97.4415
T1018,2025-04-26,2025-04-28,ZXE7H13LL,MATURITY,1900000,100.0
T1060,2025-10-15,2025-10-17,Z0P1QUO3L,SELL,2000000,103.7044
T1066,2025-11-06,2025-11-08,9FYHXS77C,SELL,4000000,103.5891
T1064,2025-11-09,2025-11-11,PSX36784P,BUY,7600000,97.1058
T1010,2025-02-03,2025-02-05,JCEEYST39,SELL,4000000,98.3504
T1033,2025-06-24,2025-06-26,AMZ82XUGQ,BUY,5000000,103.8228
T1002,2025-01-15,2025-01-17,57FALF6HP,BUY,5900000,96.1963
T1051,2025-09-04,2025-09-06,H0HGFB0NV,SELL,2000000,97.7197
T1063,2025-11-22,2025-11-24,7Y376AS3A,BUY,1800000,101.0413
