as_of_date,security_id,par_amount,book_value,market_value,database_date
2025-08-31,NLP599VY4,3800000,3828868.6,3667779.0,2025-09-03
2025-06-30,BU1B58UOJ,23100000,22899030.0,23398867.8,2025-07-03
2025-07-31,BU1B58UOJ,25000000,24782500.0,25145150.0,2025-08-03
2025-06-30,T4Q2CGF9M,11600000,11389576.0,11914905.2,2025-07-03
2025-12-31,3QPGK1A7G,5600000,5563790.4,5745252.8,2026-01-03
2025-12-31,TFYI3F2JS,6700000,6607875.0,6979617.8,2026-01-03
2025-11-30,QUSNB5HND,12300000,12258376.8,12350085.6,2025-12-03
2025-04-30,M851Y65ZE,15500000,15128542.5,15657294.0,2025-05-03
2025-06-30,9QXT5L32T,8900000,8778310.3,9155572.4,2025-07-03
2025-01-31,QSGQCVL0P,21200000,20969874.0,20969238.0,2025-02-03
2025-08-31,VK4YN4WS3,3900000,3955270.8,3843032.7,2025-09-03
2025-11-30,70PTTP6WP,16400000,16320755.2,15769042.8,2025-12-03
2025-12-31,BU1B58UOJ,25000000,24782500.0,25051175.0,2026-01-03
2025-06-30,ACWFGJ6SW,23600000,22500310.8,23151812.4,2025-07-03
2025-09-30,42KX0JJRN,4300000,4208216.5,4386399.9,2025-10-03
2025-08-31,BU1B58UOJ,25000000,24782500.0,25236125.0,2025-09-03
2025-12-31,PSX36784P,26600000,26554008.6,25524296.0,2026-01-03
2025-03-31,SFWOSNOWG,20900000,20935718.1,19679795.3,2025-04-03
2025-08-31,42KX0JJRN,4300000,4208216.5,4409482.3,2025-09-03
2025-11-30,57FALF6HP,12000000,12042084.0,11127336.0,2025-12-03
2025-08-31,RVV4PF374,6500000,6364312.5,5850559.0,2025-09-03
2025-05-31,TX6WM71BU,12700000,12396076.3,12384684.4,2025-06-03
2025-09-30,7RRU96WRX,24800000,24190416.0,25265049.6,2025-10-03
2025-04-30,EKZ7PYHFP,18000000,17935002.0,16381674.0,2025-05-03
2025-06-30,QZMZEQYUV,9500000,9444995.0,9442990.5,2025-07-03
2025-01-31,SWAH8C2NH,11900000,11773169.8,12183362.8,2025-02-03
2025-09-30,SWAH8C2NH,14900000,14741195.8,14991337.0,2025-10-03
2025-08-31,7Y376AS3A,21800000,21931715.6,21935596.0,2025-09-03
2025-02-28,F4996VZB3,9800000,9950831.8,9660487.2,2025-03-03
2025-07-31,Z0P1QUO3L,8200000,8191004.6,8353627.0,2025-08-03
2025-12-31,70PTTP6WP,16400000,16320755.2,15872084.0,2026-01-03
2025-02-28,PPDQ0XYS2,2500000,2490105.0,2382782.5,2025-03-03
2025-12-31,GWIADZLNM,12300000,12506025.0,11982463.2,2026-01-03
2025-04-30,JCEEYST39,13600000,13929786.4,13175421.6,2025-05-03
2025-01-31,516Y1ZY06,18000000,17685684.0,18079344.0,2025-02-03
2025-01-31,0X3DQ57DL,13200000,13203498.0,13337148.0,2025-02-03
2025-09-30,3QPGK1A7G,4100000,4073489.4,4143148.4,2025-10-03
2025-03-31,PSX36784P,19000000,18967149.0,17950231.0,2025-04-03
2025-03-31,F7G76ZDFS,17400000,17437549.2,16562346.6,2025-04-03
2025-06-30,0U2V1O3GA,1800000,1778509.8,1780788.6,2025-07-03
2025-07-31,TFYI3F2JS,6700000,6607875.0,6821417.4,2025-08-03
2025-06-30,XWRWGY7W4,15200000,15131022.4,14488138.4,2025-07-03
2025-10-31,F5ZXP22RK,18800000,18936563.2,18668306.0,2025-11-03
2025-03-31,QZMZEQYUV,9500000,9444995.0,9362715.5,2025-04-03
2025-07-31,TX6WM71BU,12700000,12396076.3,12056948.2,2025-08-03
2025-02-28,XMQXAE3CS,5100000,5204958.0,5008291.8,2025-03-03
2025-11-30,H1DVRLE0Y,6100000,6080284.8,6533240.3,2025-12-03
2025-12-31,N7Z68G2BD,13100000,13395627.7,12992488.3,2026-01-03
2025-06-30,GH963PM7A,17100000,17625209.4,17015149.8,2025-07-03
2025-10-31,JCEEYST39,9600000,9832790.4,8960496.0,2025-11-03
2025-02-28,QUSNB5HND,16300000,16244840.8,16241059.2,2025-03-03
2025-05-31,FH5KSL4JL,13900000,13785658.6,14246679.9,2025-06-03
2025-08-31,1AMUISU25,5900000,5809700.5,6094859.3,2025-09-03
2025-11-30,H0HGFB0NV,5900000,6032720.5,5752281.7,2025-12-03
2025-10-31,CUME7DYT1,3100000,3059368.3,3387149.9,2025-11-03
2025-12-31,2W39AEZXG,7900000,7797552.8,8757387.0,2026-01-03
2025-07-31,A0ETNRG33,13900000,13140170.4,13451030.0,2025-08-03
2025-12-31,NLP599VY4,3800000,3828868.6,3700641.4,2026-01-03
2025-09-30,UDV04Q028,9600000,9467193.6,9540028.8,2025-10-03
2025-08-31,9QXT5L32T,8900000,8778310.3,9237194.3,2025-09-03
2025-01-31,M76L42UT4,19500000,19213194.0,,2025-02-03
2025-05-31,H35A0KKW1,8900000,9158117.8,8935350.8,2025-06-03
2025-09-30,CUME7DYT1,3100000,3059368.3,3326867.3,2025-10-03
2025-11-30,M76L42UT4,19500000,19213194.0,18794841.0,2025-12-03
2025-01-31,JGB673A1M,17100000,16780811.4,17830460.7,2025-02-03
2025-02-28,RCMQ9MYM5,13400000,13384844.6,13367612.2,2025-03-03
2025-07-31,XWRWGY7W4,15200000,15131022.4,14627796.0,2025-08-03
2025-11-30,TFYI3F2JS,6700000,6607875.0,6904088.7,2025-12-03
2025-06-30,M851Y65ZE,15500000,15128542.5,15529186.5,2025-07-03
2025-01-31,RVV4PF374,8700000,8518387.5,8425428.0,2025-02-03
2025-12-31,JGB673A1M,20400000,20019213.6,20871240.0,2026-01-03
2025-12-31,Q14AFA9CM,16000000,16099856.0,15740112.0,2026-01-03
2025-07-31,PAN8DGGZO,9200000,9099480.8,9464785.2,2025-08-03
2025-06-30,MBL9ZSN6D,20000000,19612220.0,18944680.0,2025-07-03
2025-11-30,PAN8DGGZO,9200000,9099480.8,9562424.8,2025-12-03
2025-09-30,GH963PM7A,17100000,17625209.4,16999161.3,2025-10-03
2025-03-31,2W39AEZXG,7900000,7797552.8,8292511.5,2025-04-03
2025-04-30,1AMUISU25,7900000,7779090.5,,2025-05-03
2025-07-31,42KX0JJRN,4300000,4208216.5,4390497.8,2025-08-03
2025-02-28,A0ETNRG33,13900000,13140170.4,13877690.5,2025-03-03
2025-08-31,YTQS0JLHJ,1700000,1694315.2,1634810.1,2025-09-03
2025-07-31,JGB673A1M,17100000,16780811.4,17850912.3,2025-08-03
2025-06-30,GWIADZLNM,12300000,12506025.0,12367539.3,2025-07-03
2025-08-31,FH5KSL4JL,13900000,13785658.6,14197974.3,2025-09-03
2025-06-30,0X3DQ57DL,13200000,13203498.0,13034802.0,2025-07-03
2025-02-28,3QHXPR1U3,5000000,4981795.0,4866365.0,2025-03-03
2025-12-31,1AMUISU25,5900000,5809700.5,6047682.9,2026-01-03
2025-06-30,PAN8DGGZO,12200000,12066702.8,12533889.6,2025-07-03
2025-01-31,ACWFGJ6SW,23600000,22500310.8,22976606.0,2025-02-03
2025-06-30,EKZ7PYHFP,18000000,17935002.0,16191774.0,2025-07-03
2025-09-30,1AMUISU25,5900000,5809700.5,6091938.8,2025-10-03
2025-04-30,H0HGFB0NV,7900000,8077710.5,7606744.1,2025-05-03
2025-12-31,EPS5OVW1R,12400000,12341087.6,12020609.6,2026-01-03
2025-10-31,7RRU96WRX,24800000,24190416.0,25077016.0,2025-11-03
2025-01-31,BPP99K7JP,7300000,7041521.6,7195785.2,2025-02-03
2025-12-31,VK4YN4WS3,3900000,3955270.8,3831824.1,2026-01-03
2025-12-31,57FALF6HP,12000000,12042084.0,11010324.0,2026-01-03
2025-07-31,3QPGK1A7G,4100000,4073489.4,4226505.5,2025-08-03
2025-12-31,AMZ82XUGQ,5000000,5105030.0,5413055.0,2026-01-03
2025-11-30,9G5QIVWML,27800000,27685881.0,25010270.0,2025-12-03
2025-09-30,TFYI3F2JS,6700000,6607875.0,6838341.6,2025-10-03
2025-03-31,CUME7DYT1,3100000,3059368.3,3104836.0,2025-04-03
2025-06-30,BPP99K7JP,7300000,7041521.6,6835311.2,2025-07-03
2025-11-30,BU1B58UOJ,25000000,24782500.0,24911800.0,2025-12-03
2025-10-31,SQUBO2P2A,26300000,25814212.7,26854851.1,2025-11-03
2025-05-31,0X3DQ57DL,13200000,13203498.0,13150341.6,2025-06-03
2025-03-31,ACWFGJ6SW,23600000,22500310.8,22844682.0,2025-04-03
2025-06-30,A0ETNRG33,13900000,13140170.4,13593310.4,2025-07-03
2025-09-30,EKZ7PYHFP,18000000,17935002.0,16298604.0,2025-10-03
2025-11-30,SQUBO2P2A,26300000,25814212.7,26626803.8,2025-12-03
2025-01-31,XHETACNP9,18500000,18747807.5,19313963.0,2025-02-03
2025-01-31,ZWM2G6B6P,2900000,2818997.2,3102286.6,2025-02-03
2025-10-31,GH963PM7A,17100000,17625209.4,17062944.3,2025-11-03
2025-08-31,JL7ZH6V32,6900000,6862125.9,6739588.8,2025-09-03
2025-04-30,RYHSQ0LD6,17800000,17250069.0,17627411.2,2025-05-03
2025-06-30,F7G76ZDFS,17400000,17437549.2,16315597.2,2025-07-03
2025-09-30,Z0P1QUO3L,8200000,8191004.6,8373618.6,2025-10-03
2025-07-31,SFWOSNOWG,20900000,20935718.1,19888001.1,2025-08-03
2025-12-31,1060VXN0Z,29700000,29952687.6,29718562.5,2026-01-03
2025-04-30,QUSNB5HND,12300000,12258376.8,12244514.7,2025-05-03
2025-12-31,DQ7IE0FTV,14500000,14580228.5,14955938.0,2026-01-03
2025-08-31,7RRU96WRX,24800000,24190416.0,25361224.0,2025-09-03
2025-12-31,FH5KSL4JL,13900000,13785658.6,14513434.8,2026-01-03
2025-03-31,XMQXAE3CS,5100000,5204958.0,5047495.5,2025-04-03
2025-03-31,DQ7IE0FTV,14500000,14580228.5,14835399.5,2025-04-03
2025-07-31,F7G76ZDFS,17400000,17437549.2,16002501.6,2025-08-03
2025-01-31,UDV04Q028,9600000,9467193.6,9484521.6,2025-02-03
2025-08-31,BPP99K7JP,7300000,7041521.6,6813082.7,2025-09-03
2025-11-30,CUME7DYT1,3100000,3059368.3,3392683.4,2025-12-03
2025-02-28,PSX36784P,19000000,18967149.0,17743321.0,2025-03-03
2025-08-31,3QPGK1A7G,4100000,4073489.4,4183607.2,2025-09-03
2025-07-31,PPDQ0XYS2,2500000,2490105.0,2332025.0,2025-08-03
2025-07-31,AMZ82XUGQ,5000000,5105030.0,5260445.0,2025-08-03
2025-07-31,RYHSQ0LD6,17800000,17250069.0,17295494.6,2025-08-03
2025-08-31,UDV04Q028,9600000,9467193.6,9679209.6,2025-09-03
2025-03-31,GWIADZLNM,9800000,9964150.0,9751058.8,2025-04-03
2025-04-30,9FYHXS77C,23300000,22628354.2,23471068.6,2025-05-03
2025-01-31,A0ETNRG33,13900000,13140170.4,13699061.6,2025-02-03
2025-11-30,42KX0JJRN,4300000,4208216.5,4325997.8,2025-12-03
2025-05-31,0U2V1O3GA,1800000,1778509.8,1766399.4,2025-06-03
2025-01-31,9FYHXS77C,23300000,22628354.2,23599288.5,2025-02-03
2025-10-31,JL7ZH6V32,6900000,6862125.9,6690433.2,2025-11-03
2025-06-30,JGB673A1M,17100000,16780811.4,18132891.3,2025-07-03
2025-05-31,RVV4PF374,6500000,6364312.5,5776459.0,2025-06-03
2025-01-31,YTQS0JLHJ,1700000,1694315.2,1688999.3,2025-02-03
2025-03-31,VK4YN4WS3,-3900000,3955270.8,-3842108.4,2025-04-03
2025-12-31,F5ZXP22RK,18800000,18936563.2,18683947.6,2026-01-03
2025-02-28,N7Z68G2BD,13100000,13395627.7,12924342.1,2025-03-03
2025-03-31,FH5KSL4JL,13900000,13785658.6,14353515.3,2025-04-03
2025-09-30,9FYHXS77C,23300000,22628354.2,24045064.1,2025-10-03
2025-10-31,DQ7IE0FTV,14500000,14580228.5,14849131.0,2025-11-03
2025-10-31,BRN4YWM4W,2500000,2456957.5,2468670.0,2025-11-03
2025-04-30,PAN8DGGZO,12200000,12066702.8,12357123.8,2025-05-03
2025-06-30,7Y376AS3A,21800000,21931715.6,21324389.4,2025-07-03
2025-02-28,SQUBO2P2A,20000000,19630580.0,20169980.0,2025-03-03
2025-03-31,9QXT5L32T,8900000,8778310.3,9199885.5,2025-04-03
2025-11-30,JGB673A1M,20400000,20019213.6,20726644.8,2025-12-03
2025-07-31,J723UFW32,4600000,4583292.8,4596573.0,2025-08-03
2025-04-30,9QXT5L32T,8900000,8778310.3,9125161.1,2025-05-03
2025-10-31,7Y376AS3A,21800000,21931715.6,21968405.0,2025-11-03
2025-11-30,H35A0KKW1,8900000,9158117.8,8956310.3,2025-12-03
2025-05-31,9QXT5L32T,8900000,8778310.3,8996253.5,2025-06-03
2025-03-31,MBL9ZSN6D,24000000,23534664.0,23073120.0,2025-04-03
2025-11-30,VWN1AXARW,25600000,24942950.4,25043072.0,2025-12-03
2025-08-31,EKZ7PYHFP,18000000,17935002.0,16405848.0,2025-09-03
2025-11-30,PSX36784P,26600000,26554008.6,25780959.4,2025-12-03
2025-12-31,SWAH8C2NH,14900000,14741195.8,14654284.1,2026-01-03
2025-01-31,H35A0KKW1,8900000,9158117.8,8965762.1,2025-02-03
2025-11-30,0X3DQ57DL,13200000,13203498.0,12968419.2,2025-12-03
2025-10-31,F7G76ZDFS,19100000,19141217.8,18227149.1,2025-11-03
2025-07-31,3JGH5S75L,3300000,3274916.7,3182793.9,2025-08-03
2025-06-30,FH5KSL4JL,13900000,13785658.6,14201268.6,2025-07-03
2025-02-28,EKZ7PYHFP,18000000,17935002.0,,2025-03-03
2025-04-30,1060VXN0Z,22400000,22590579.2,22210787.2,2025-05-03
2025-06-30,DQ7IE0FTV,14500000,14580228.5,14827033.0,2025-07-03
2025-05-31,516Y1ZY06,18000000,17685684.0,17555130.0,2025-06-03
2025-01-31,FH5KSL4JL,13900000,13785658.6,,2025-02-03
2025-08-31,PSX36784P,19000000,18967149.0,18077360.0,2025-09-03
2025-07-31,VK4YN4WS3,3900000,3955270.8,3876229.5,2025-08-03
2025-11-30,SFWOSNOWG,20900000,20935718.1,19901230.8,2025-12-03
2025-05-31,BPP99K7JP,7300000,7041521.6,6879425.1,2025-06-03
2025-09-30,BPP99K7JP,7300000,7041521.6,6859970.6,2025-10-03
2025-02-28,9FYHXS77C,23300000,22628354.2,23397254.2,2025-03-03
2025-07-31,W77COTA0A,10700000,10407504.8,9738348.2,2025-08-03
2025-06-30,YTQS0JLHJ,1700000,1694315.2,1648481.5,2025-07-03
2025-09-30,F7G76ZDFS,19100000,19141217.8,18090794.2,2025-10-03
2025-02-28,XWRWGY7W4,15200000,15131022.4,14547828.8,2025-03-03
2025-02-28,9G5QIVWML,22700000,22606816.5,22641343.2,2025-03-03
2025-04-30,XHETACNP9,18500000,18747807.5,19395899.5,2025-05-03
2025-04-30,GH963PM7A,21100000,21748065.4,20954747.6,2025-05-03
2025-01-31,W77COTA0A,14700000,14298160.8,14741689.2,2025-02-03
2025-11-30,7RRU96WRX,24800000,24190416.0,25147646.4,2025-12-03
2025-09-30,FH5KSL4JL,13900000,13785658.6,14517994.0,2025-10-03
2025-07-31,516Y1ZY06,18000000,17685684.0,17811774.0,2025-08-03
2025-08-31,ACWFGJ6SW,23600000,22500310.8,22424814.4,2025-09-03
2025-03-31,JL7ZH6V32,6900000,6862125.9,6623717.1,2025-04-03
2025-10-31,TFYI3F2JS,6700000,6607875.0,6876156.4,2025-11-03
2025-05-31,YTQS0JLHJ,1700000,1694315.2,1650875.1,2025-06-03
2025-05-31,W77COTA0A,10700000,10407504.8,9720265.2,2025-06-03
2025-09-30,0U2V1O3GA,1800000,1778509.8,1758672.0,2025-10-03
2025-02-28,YTQS0JLHJ,1700000,1694315.2,1677425.7,2025-03-03
2025-06-30,N7Z68G2BD,13100000,13395627.7,12900238.1,2025-07-03
2025-02-28,VK4YN4WS3,3900000,3955270.8,3779610.9,2025-03-03
2025-07-31,T4Q2CGF9M,11600000,11389576.0,12066749.2,2025-08-03
2025-05-31,SFWOSNOWG,20900000,20935718.1,19659417.8,2025-06-03
2025-06-30,3QHXPR1U3,6500000,6476333.5,6381219.0,2025-07-03
2025-07-31,QUSNB5HND,12300000,12258376.8,12516566.1,2025-08-03
2025-10-31,IQ9KFUKG1,4900000,4823555.1,4912201.0,2025-11-03
2025-08-31,TX6WM71BU,12700000,12396076.3,12136005.7,2025-09-03
2025-06-30,PPDQ0XYS2,2500000,2490105.0,2335852.5,2025-07-03
2025-09-30,JGB673A1M,20400000,20019213.6,21025912.8,2025-10-03
2025-09-30,YTQS0JLHJ,1700000,1694315.2,1641939.9,2025-10-03
2025-04-30,H35A0KKW1,8900000,9158117.8,9089739.1,2025-05-03
2025-01-31,RCMQ9MYM5,13400000,13384844.6,13345381.6,2025-02-03
2025-02-28,57FALF6HP,5900000,5920691.3,5594852.0,2025-03-03
2025-08-31,516Y1ZY06,18000000,17685684.0,17757378.0,2025-09-03
2025-07-31,77AC83R7N,25400000,24546102.8,26208609.0,2025-08-03
2025-01-31,7RRU96WRX,24800000,24190416.0,24858255.2,2025-02-03
2025-10-31,XWRWGY7W4,4500000,4479579.0,4494150.0,2025-11-03
2025-10-31,XHETACNP9,14500000,14694227.5,15083697.5,2025-11-03
2025-02-28,CUME7DYT1,3100000,3059368.3,3105313.4,2025-03-03
2025-10-31,QSGQCVL0P,21200000,20969874.0,21644055.2,2025-11-03
2025-05-31,57FALF6HP,12000000,12042084.0,11060016.0,2025-06-03
2025-06-30,UDV04Q028,9600000,9467193.6,9702412.8,2025-07-03
2025-05-31,3QHXPR1U3,5000000,4981795.0,4873035.0,2025-06-03
2025-07-31,JCEEYST39,9600000,9832790.4,9050899.2,2025-08-03
2025-01-31,77AC83R7N,25400000,24546102.8,25831063.4,2025-02-03
2025-11-30,ZWM2G6B6P,2900000,2818997.2,3023258.7,2025-12-03
2025-10-31,F4996VZB3,5800000,5889267.8,5846400.0,2025-11-03
2025-07-31,ACWFGJ6SW,23600000,22500310.8,23070604.8,2025-08-03
2025-09-30,RYHSQ0LD6,17800000,17250069.0,17135686.2,2025-10-03
2025-11-30,77AC83R7N,33300000,32180520.6,34929702.0,2025-12-03
2025-06-30,SFWOSNOWG,20900000,20935718.1,19674068.7,2025-07-03
2025-02-28,VWN1AXARW,25600000,24942950.4,25727513.6,2025-03-03
2025-11-30,A0ETNRG33,13900000,13140170.4,13586694.0,2025-12-03
2025-08-31,GH963PM7A,17100000,17625209.4,17014243.5,2025-09-03
2025-07-31,2W39AEZXG,7900000,7797552.8,8433510.7,2025-08-03
2025-04-30,NLP599VY4,3800000,3828868.6,3597213.0,2025-05-03
2025-06-30,F5ZXP22RK,18800000,18936563.2,19138625.6,2025-07-03
2025-04-30,A0ETNRG33,13900000,13140170.4,13830778.0,2025-05-03
2025-04-30,SWAH8C2NH,11900000,11773169.8,12078404.8,2025-05-03
2025-06-30,77AC83R7N,25400000,24546102.8,25900481.6,2025-07-03
2025-06-30,TX6WM71BU,12700000,12396076.3,12254649.1,2025-07-03
2025-08-31,1060VXN0Z,22400000,22590579.2,21785635.2,2025-09-03
2025-01-31,PSX36784P,19000000,18967149.0,17959522.0,2025-02-03
2025-04-30,XMQXAE3CS,5100000,5204958.0,4954333.8,2025-05-03
2025-07-31,1AMUISU25,7900000,7779090.5,8150911.9,2025-08-03
2025-01-31,3JGH5S75L,3300000,3274916.7,3397947.3,2025-02-03
2025-04-30,SQUBO2P2A,20000000,19630580.0,20642980.0,2025-05-03
2025-03-31,7RRU96WRX,24800000,24190416.0,24766197.6,2025-04-03
2025-09-30,M76L42UT4,19500000,19213194.0,19033404.0,2025-10-03
2025-11-30,EPS5OVW1R,16400000,16322083.6,15885351.6,2025-12-03
2025-11-30,EKZ7PYHFP,18000000,17935002.0,16242210.0,2025-12-03
2025-01-31,JCEEYST39,17600000,18026782.4,17575888.0,2025-02-03
2025-06-30,RVV4PF374,6500000,6364312.5,5829837.0,2025-07-03
2025-04-30,516Y1ZY06,18000000,17685684.0,17494614.0,2025-05-03
2025-06-30,9FYHXS77C,23300000,22628354.2,23450797.6,2025-07-03
2025-11-30,NLP599VY4,3800000,3828868.6,3719212.0,2025-12-03
2025-05-31,UDV04Q028,9600000,9467193.6,9828969.6,2025-06-03
2025-04-30,77AC83R7N,25400000,24546102.8,25706197.0,2025-05-03
2025-04-30,M76L42UT4,19500000,19213194.0,19201825.5,2025-05-03
2025-07-31,H35A0KKW1,8900000,9158117.8,8925525.2,2025-08-03
2025-10-31,VWN1AXARW,25600000,24942950.4,25200870.4,2025-11-03
2025-04-30,ACWFGJ6SW,23600000,22500310.8,23032349.2,2025-05-03
2025-03-31,0U2V1O3GA,1800000,1778509.8,1782955.8,2025-04-03
2025-12-31,T4Q2CGF9M,11600000,11389576.0,12097106.4,2026-01-03
2025-05-31,QSGQCVL0P,21200000,20969874.0,20872269.2,2025-06-03
2025-05-31,ACWFGJ6SW,23600000,22500310.8,23090004.0,2025-06-03
2025-06-30,PSX36784P,19000000,18967149.0,18102858.0,2025-07-03
2025-04-30,BRN4YWM4W,2400000,2358679.2,2328122.4,2025-05-03
2025-06-30,ZWM2G6B6P,2900000,2818997.2,3097223.2,2025-07-03
2025-04-30,57FALF6HP,12000000,12042084.0,11228520.0,2025-05-03
2025-03-31,NLP599VY4,3800000,3828868.6,3601203.0,2025-04-03
2025-07-31,VWN1AXARW,25600000,24942950.4,25562035.2,2025-08-03
2025-01-31,T4Q2CGF9M,11600000,11389576.0,12049001.2,2025-02-03
2025-01-31,1060VXN0Z,22400000,22590579.2,21857785.6,2025-02-03
2025-06-30,AMZ82XUGQ,5000000,5105030.0,5196255.0,2025-07-03
2025-05-31,F5ZXP22RK,18800000,18936563.2,18988319.6,2025-06-03
2025-10-31,57FALF6HP,12000000,12042084.0,11106684.0,2025-11-03
