as_of_date,security_id,clean_price,oas_bps
2025-01-31,BRN4YWM4W,98.5788,138.4
2025-01-31,QUSNB5HND,99.9265,99.9
2025-02-28,SFWOSNOWG,93.3309,7.3
2025-02-28,70PTTP6WP,96.5903,1.3
2025-02-28,1060VXN0Z,98.987,4.2
2025-02-28,3QHXPR1U3,97.3273,3.7
2025-02-28,Z0P1QUO3L,102.1268,3.7
2025-02-28,516Y1ZY06,99.0672,1.7
2025-02-28,JL7ZH6V32,95.2571,5.9
2025-02-28,Q14AFA9CM,97.0806,88.2
2025-02-28,IQ9KFUKG1,99.8477,307.5
2025-02-28,UDV04Q028,100.5035,289.1
2025-02-28,M851Y65ZE,103.0558,518.5
2025-02-28,1AMUISU25,101.6698,119.4
2025-02-28,FH5KSL4JL,102.2842,52.4
2025-02-28,H35A0KKW1,102.0323,55.0
2025-02-28,A0ETNRG33,99.8395,491.4
2025-02-28,J723UFW32,101.8106,157.0
2025-02-28,F5ZXP22RK,101.6027,155.2
2025-02-28,0X3DQ57DL,100.153,125.0
2025-02-28,BU1B58UOJ,100.5127,123.2
2025-02-28,GWIADZLNM,99.1401,128.5
2025-02-28,77AC83R7N,102.0664,53.3
2025-02-28,RCMQ9MYM5,99.7583,91.5
2025-02-28,2W39AEZXG,104.4967,135.2
2025-02-28,H1DVRLE0Y,103.5102,139.5
2025-02-28,EPS5OVW1R,95.9125,84.0
2025-02-28,57FALF6HP,94.828,285.6
2025-02-28,GH963PM7A,98.3443,76.6
2025-02-28,T4Q2CGF9M,103.8655,96.4
2025-02-28,F7G76ZDFS,95.3595,426.9
2025-02-28,M76L42UT4,98.213,86.1
2025-02-28,SDW8SJ686,102.6169,90.8
2025-02-28,XHETACNP9,104.0777,93.5
2025-02-28,VWN1AXARW,100.4981,88.5
2025-02-28,42KX0JJRN,100.1846,542.2
2025-02-28,ACWFGJ6SW,96.9796,66.3
2025-02-28,PPDQ0XYS2,95.3113,86.8
2025-02-28,PSX36784P,93.3859,97.5
2025-02-28,SWAH8C2NH,103.1503,57.3
2025-02-28,9FYHXS77C,100.4174,488.8
2025-02-28,VK4YN4WS3,96.9131,77.8
2025-02-28,7Y376AS3A,96.5342,141.6
2025-02-28,H0HGFB0NV,104.3304,51.2
2025-02-28,BPP99K7JP,99.0645,139.5
2025-02-28,P1QZ2N1GW,99.4353,355.0
2025-02-28,EKZ7PYHFP,97.6999,95.9
2025-02-28,RVV4PF374,95.8097,272.4
2025-02-28,9G5QIVWML,99.7416,87.3
2025-02-28,W77COTA0A,99.4898,135.2
2025-02-28,3JGH5S75L,101.8303,472.4
2025-02-28,63LG8HRJ3,99.1719,152.3
2025-02-28,ZXE7H13LL,99.9586,105.0
2025-02-28,PAN8DGGZO,102.6763,101.0
2025-02-28,ZWM2G6B6P,107.9557,55.6
2025-02-28,N7Z68G2BD,98.6591,140.4
2025-02-28,VHF93XHZ7,99.3752,275.6
2025-02-28,DV872TCVX,102.8794,135.2
2025-02-28,7RRU96WRX,98.9348,56.2
2025-02-28,CUME7DYT1,100.1714,76.3
2025-02-28,DQ7IE0FTV,102.3896,140.6
2025-02-28,3QPGK1A7G,99.8648,65.2
2025-02-28,QSGQCVL0P,97.9372,336.3
2025-02-28,XWRWGY7W4,95.7094,96.0
2025-02-28,TFYI3F2JS,101.172,82.7
2025-02-28,TX6WM71BU,95.2894,446.3
2025-02-28,RYHSQ0LD6,98.136,95.7
2025-02-28,XMQXAE3CS,98.2018,461.1
2025-02-28,F4996VZB3,98.5764,68.5
2025-02-28,SQUBO2P2A,100.8499,79.1
2025-02-28,0U2V1O3GA,98.378,80.6
2025-02-28,YTQS0JLHJ,98.6721,35.3
2025-02-28,QZMZEQYUV,98.5635,52.6
2025-02-28,JCEEYST39,98.3278,36.3
2025-02-28,MBL9ZSN6D,96.5934,39.9
2025-02-28,9QXT5L32T,103.4113,59.0
2025-02-28,CHXDACEZ1,102.2772,77.4
2025-02-28,JGB673A1M,103.4592,79.3
2025-02-28,NLP599VY4,95.5712,88.5
2025-02-28,BRN4YWM4W,97.4815,137.8
2025-02-28,QUSNB5HND,99.6384,99.0
2025-03-31,SFWOSNOWG,94.1617,7.4
2025-03-31,70PTTP6WP,95.9005,1.3
2025-03-31,1060VXN0Z,96.9166,4.2
2025-03-31,AMZ82XUGQ,101.4243,7.9
2025-03-31,3QHXPR1U3,97.5565,3.7
2025-03-31,Z0P1QUO3L,102.1294,3.7
2025-03-31,516Y1ZY06,97.9282,1.7
2025-03-31,JL7ZH6V32,95.9959,5.9
2025-03-31,Q14AFA9CM,99.1762,89.4
2025-03-31,IQ9KFUKG1,100.1823,311.4
2025-03-31,UDV04Q028,100.7797,290.4
2025-03-31,M851Y65ZE,101.1698,515.9
2025-03-31,1AMUISU25,100.642,118.7
2025-03-31,FH5KSL4JL,103.2627,52.4
2025-03-31,H35A0KKW1,102.2838,55.8
2025-03-31,A0ETNRG33,99.0473,492.9
2025-03-31,J723UFW32,101.0186,158.2
2025-03-31,F5ZXP22RK,100.7388,153.9
2025-03-31,0X3DQ57DL,100.7985,123.2
2025-03-31,BU1B58UOJ,99.2415,121.4
2025-03-31,77AC83R7N,101.5871,52.8
2025-03-31,H1DVRLE0Y,103.9177,138.7
2025-03-31,EPS5OVW1R,95.4663,84.1
2025-03-31,57FALF6HP,94.8403,284.8
2025-03-31,GH963PM7A,99.1325,77.5
2025-03-31,T4Q2CGF9M,102.9284,97.8
2025-03-31,F7G76ZDFS,95.1859,423.0
2025-03-31,SDW8SJ686,102.1855,91.2
2025-03-31,XHETACNP9,103.4941,94.4
2025-03-31,VWN1AXARW,99.8383,88.5
2025-03-31,42KX0JJRN,99.7683,543.0
2025-03-31,ACWFGJ6SW,96.7995,65.7
2025-03-31,PPDQ0XYS2,95.0863,86.0
2025-03-31,PSX36784P,94.4749,96.6
2025-03-31,SWAH8C2NH,100.949,57.3
2025-03-31,9FYHXS77C,101.3549,493.5
2025-03-31,VK4YN4WS3,98.5156,77.4
2025-03-31,7Y376AS3A,97.0057,141.1
2025-03-31,H0HGFB0NV,96.4512,173.5
2025-03-31,BPP99K7JP,93.56,253.7
2025-03-31,P1QZ2N1GW,91.8766,480.5
2025-03-31,EKZ7PYHFP,89.5781,218.9
2025-03-31,RVV4PF374,87.0975,388.8
2025-03-31,9G5QIVWML,91.3859,230.2
2025-03-31,W77COTA0A,89.9485,277.0
2025-03-31,3JGH5S75L,95.0002,615.9
2025-03-31,63LG8HRJ3,90.4269,266.4
2025-03-31,ZXE7H13LL,91.4603,232.0
2025-03-31,PAN8DGGZO,102.7615,101.9
2025-03-31,ZWM2G6B6P,107.9346,55.0
2025-03-31,N7Z68G2BD,99.1172,140.6
2025-03-31,DV872TCVX,102.8682,135.6
2025-03-31,7RRU96WRX,99.8637,56.1
2025-03-31,CUME7DYT1,100.156,75.9
2025-03-31,DQ7IE0FTV,102.3131,139.2
2025-03-31,3QPGK1A7G,100.5178,65.8
2025-03-31,QSGQCVL0P,98.5723,333.6
2025-03-31,XWRWGY7W4,95.336,95.1
2025-03-31,TX6WM71BU,96.4794,448.0
2025-03-31,RYHSQ0LD6,98.3756,95.4
2025-03-31,XMQXAE3CS,98.9705,464.9
2025-03-31,F4996VZB3,98.2145,67.7
2025-03-31,SQUBO2P2A,103.4274,79.6
2025-03-31,YTQS0JLHJ,99.0017,35.6
2025-03-31,QZMZEQYUV,98.5549,52.3
2025-03-31,JCEEYST39,96.8575,36.1
2025-03-31,MBL9ZSN6D,96.138,39.6
2025-03-31,9QXT5L32T,103.3695,59.6
2025-03-31,CHXDACEZ1,102.736,76.6
2025-03-31,JGB673A1M,104.5722,78.8
2025-03-31,NLP599VY4,94.7685,87.6
2025-03-31,BRN4YWM4W,98.1969,136.1
2025-03-31,QUSNB5HND,98.6156,100.2
2025-04-30,SFWOSNOWG,94.6393,7.3
2025-04-30,70PTTP6WP,96.9908,1.3
2025-04-30,1060VXN0Z,99.1553,4.2
2025-04-30,AMZ82XUGQ,101.8234,8.0
2025-04-30,3QHXPR1U3,97.823,3.7
2025-04-30,Z0P1QUO3L,101.7613,3.8
2025-04-30,516Y1ZY06,97.1923,1.7
2025-04-30,JL7ZH6V32,95.7058,5.9
2025-04-30,Q14AFA9CM,98.7311,88.6
2025-04-30,IQ9KFUKG1,100.0441,311.4
2025-04-30,UDV04Q028,102.7369,287.9
2025-04-30,M851Y65ZE,101.0148,514.6
2025-04-30,1AMUISU25,1.010971,119.5
2025-04-30,FH5KSL4JL,103.0747,52.0
2025-04-30,H35A0KKW1,102.1319,55.9
2025-04-30,J723UFW32,100.1115,157.7
2025-04-30,F5ZXP22RK,101.7448,156.1
2025-04-30,0X3DQ57DL,99.6693,124.9
2025-04-30,BU1B58UOJ,100.0155,122.8
2025-04-30,GWIADZLNM,99.6148,126.1
2025-04-30,77AC83R7N,101.2055,52.3
2025-04-30,2W39AEZXG,105.7948,132.5
2025-04-30,H1DVRLE0Y,104.0717,139.9
2025-04-30,EPS5OVW1R,96.1826,83.1
2025-04-30,57FALF6HP,93.571,283.1
2025-04-30,GH963PM7A,99.3116,78.6
2025-04-30,T4Q2CGF9M,103.0369,96.8
2025-04-30,F7G76ZDFS,95.803,419.9
2025-04-30,M76L42UT4,98.4709,86.1
2025-04-30,SDW8SJ686,102.7215,91.4
2025-04-30,XHETACNP9,104.8427,95.5
2025-04-30,VWN1AXARW,100.314,89.2
2025-04-30,42KX0JJRN,102.1951,536.2
2025-04-30,ACWFGJ6SW,97.5947,65.1
2025-04-30,PPDQ0XYS2,94.7589,85.8
2025-04-30,PSX36784P,95.3285,95.5
2025-04-30,SWAH8C2NH,101.4992,57.7
2025-04-30,9FYHXS77C,100.7342,488.3
2025-04-30,VK4YN4WS3,97.5644,77.1
2025-04-30,7Y376AS3A,96.6901,142.3
2025-04-30,H0HGFB0NV,96.2879,148.2
2025-04-30,BPP99K7JP,94.4335,221.0
2025-04-30,P1QZ2N1GW,92.4805,448.6
2025-04-30,EKZ7PYHFP,91.0093,180.2
2025-04-30,RVV4PF374,88.4869,351.8
2025-04-30,9G5QIVWML,91.5157,202.0
2025-04-30,W77COTA0A,90.9018,249.2
2025-04-30,3JGH5S75L,95.811,593.8
2025-04-30,63LG8HRJ3,89.9404,239.3
2025-04-30,PAN8DGGZO,101.2879,100.7
2025-04-30,ZWM2G6B6P,107.4375,55.3
2025-04-30,VHF93XHZ7,97.314,273.5
2025-04-30,DV872TCVX,102.9004,134.0
2025-04-30,7RRU96WRX,99.9844,56.5
2025-04-30,CUME7DYT1,100.4579,76.0
2025-04-30,DQ7IE0FTV,102.668,140.0
2025-04-30,3QPGK1A7G,101.0057,66.6
2025-04-30,QSGQCVL0P,99.9061,333.4
2025-04-30,XWRWGY7W4,94.256,96.4
2025-04-30,TFYI3F2JS,100.31,82.4
2025-04-30,TX6WM71BU,96.9504,453.1
2025-04-30,RYHSQ0LD6,99.0304,95.1
2025-04-30,XMQXAE3CS,97.1438,464.0
2025-04-30,F4996VZB3,98.4053,67.0
2025-04-30,SQUBO2P2A,103.2149,78.8
2025-04-30,0U2V1O3GA,98.8964,80.4
2025-04-30,YTQS0JLHJ,98.4184,35.8
2025-04-30,QZMZEQYUV,100.1415,51.8
2025-04-30,JCEEYST39,96.8781,36.0
2025-04-30,MBL9ZSN6D,95.1382,39.7
2025-04-30,9QXT5L32T,102.5299,59.4
2025-04-30,CHXDACEZ1,102.8735,77.7
2025-04-30,JGB673A1M,104.3741,78.9
2025-04-30,BRN4YWM4W,97.0051,134.6
2025-04-30,QUSNB5HND,99.5489,100.8
2025-05-31,SFWOSNOWG,94.0642,7.3
2025-05-31,70PTTP6WP,96.4799,1.2
2025-05-31,1060VXN0Z,99.0113,4.2
2025-05-31,AMZ82XUGQ,103.233,8.1
2025-05-31,3QHXPR1U3,97.4607,3.7
2025-05-31,Z0P1QUO3L,102.0031,3.7
2025-05-31,516Y1ZY06,97.5285,1.7
2025-05-31,JL7ZH6V32,97.007,5.8
2025-05-31,Q14AFA9CM,98.048,89.5
2025-05-31,IQ9KFUKG1,99.494,310.3
2025-05-31,UDV04Q028,102.3851,290.1
2025-05-31,M851Y65ZE,99.9325,520.3
2025-05-31,1AMUISU25,102.5942,119.1
2025-05-31,FH5KSL4JL,102.4941,52.3
2025-05-31,H35A0KKW1,100.3972,55.7
2025-05-31,A0ETNRG33,99.0467,491.1
2025-05-31,J723UFW32,100.009,156.3
2025-05-31,F5ZXP22RK,101.0017,156.9
2025-05-31,0X3DQ57DL,99.6238,126.2
2025-05-31,BU1B58UOJ,100.9817,123.9
2025-05-31,GWIADZLNM,100.0688,125.0
2025-05-31,77AC83R7N,101.5421,51.8
2025-05-31,2W39AEZXG,106.7752,134.4
2025-05-31,H1DVRLE0Y,105.3649,138.0
2025-05-31,EPS5OVW1R,96.1142,82.4
2025-05-31,57FALF6HP,92.1668,280.9
2025-05-31,GH963PM7A,97.7972,78.9
2025-05-31,T4Q2CGF9M,102.5698,95.4
2025-05-31,F7G76ZDFS,94.4367,416.1
2025-05-31,M76L42UT4,97.5809,85.9
2025-05-31,SDW8SJ686,103.1807,90.4
2025-05-31,XHETACNP9,104.7246,96.7
2025-05-31,VWN1AXARW,99.2322,88.1
2025-05-31,42KX0JJRN,102.3396,542.6
2025-05-31,ACWFGJ6SW,97.839,64.6
2025-05-31,PPDQ0XYS2,93.9555,86.5
2025-05-31,PSX36784P,95.5937,95.9
2025-05-31,SWAH8C2NH,100.843,57.2
2025-05-31,9FYHXS77C,101.1691,486.9
2025-05-31,VK4YN4WS3,96.787,77.3
2025-05-31,7Y376AS3A,97.2411,141.5
2025-05-31,H0HGFB0NV,96.8715,148.1
2025-05-31,BPP99K7JP,94.2387,223.2
2025-05-31,P1QZ2N1GW,92.5709,444.9
2025-05-31,EKZ7PYHFP,91.3119,179.4
2025-05-31,RVV4PF374,88.8686,347.7
2025-05-31,9G5QIVWML,91.5693,203.7
2025-05-31,W77COTA0A,90.8436,249.7
2025-05-31,3JGH5S75L,95.5478,586.0
2025-05-31,63LG8HRJ3,89.8038,239.6
2025-05-31,PAN8DGGZO,101.023,99.6
2025-05-31,ZWM2G6B6P,107.3119,54.5
2025-05-31,N7Z68G2BD,99.2653,138.8
2025-05-31,VHF93XHZ7,97.3616,276.4
2025-05-31,DV872TCVX,100.2961,136.0
2025-05-31,7RRU96WRX,99.7585,57.3
2025-05-31,CUME7DYT1,102.3902,74.9
2025-05-31,DQ7IE0FTV,102.6075,141.1
2025-05-31,3QPGK1A7G,102.0491,67.0
2025-05-31,QSGQCVL0P,98.4541,331.2
2025-05-31,XWRWGY7W4,94.2399,96.6
2025-05-31,TFYI3F2JS,100.5474,83.3
2025-05-31,TX6WM71BU,97.5172,447.5
2025-05-31,RYHSQ0LD6,96.8778,96.3
2025-05-31,XMQXAE3CS,97.0803,465.2
2025-05-31,F4996VZB3,98.7522,66.8
2025-05-31,SQUBO2P2A,102.1261,79.3
2025-05-31,YTQS0JLHJ,97.1103,36.0
2025-05-31,QZMZEQYUV,99.473,51.9
2025-05-31,JCEEYST39,95.0694,36.5
2025-05-31,MBL9ZSN6D,95.6146,39.9
2025-05-31,9QXT5L32T,101.0815,59.6
2025-05-31,CHXDACEZ1,102.4481,78.7
2025-05-31,JGB673A1M,105.8986,78.1
2025-05-31,NLP599VY4,96.0531,85.6
2025-05-31,BRN4YWM4W,96.7211,134.2
2025-05-31,QUSNB5HND,101.1833,101.7
2025-06-30,SFWOSNOWG,94.1343,7.3
2025-06-30,70PTTP6WP,96.002,1.2
2025-06-30,1060VXN0Z,99.0502,4.3
2025-06-30,AMZ82XUGQ,103.9251,8.1
2025-06-30,3QHXPR1U3,98.1726,3.7
2025-06-30,Z0P1QUO3L,101.9677,3.8
2025-06-30,516Y1ZY06,98.1825,1.7
2025-06-30,JL7ZH6V32,99.4651,5.9
2025-06-30,Q14AFA9CM,96.9044,89.4
2025-06-30,IQ9KFUKG1,101.1234,314.1
2025-06-30,M851Y65ZE,100.1883,518.1
2025-06-30,1AMUISU25,103.7074,119.9
2025-06-30,FH5KSL4JL,102.1674,52.4
2025-06-30,H35A0KKW1,100.3381,56.2
2025-06-30,A0ETNRG33,97.7936,496.4
2025-06-30,J723UFW32,100.339,157.7
2025-06-30,F5ZXP22RK,101.8012,155.8
2025-06-30,0X3DQ57DL,98.7485,124.8
2025-06-30,BU1B58UOJ,101.2938,123.4
2025-06-30,GWIADZLNM,100.5491,124.3
2025-06-30,77AC83R7N,101.9704,51.3
2025-06-30,2W39AEZXG,106.5771,135.1
2025-06-30,H1DVRLE0Y,105.7467,137.4
2025-06-30,EPS5OVW1R,96.5455,82.9
2025-06-30,57FALF6HP,92.3568,276.9
2025-06-30,GH963PM7A,99.5038,79.1
2025-06-30,T4Q2CGF9M,102.7147,95.7
2025-06-30,F7G76ZDFS,93.7678,414.5
2025-06-30,M76L42UT4,97.2766,85.2
2025-06-30,SDW8SJ686,104.0616,91.4
2025-06-30,XHETACNP9,103.71,95.7
2025-06-30,VWN1AXARW,99.2948,87.7
2025-06-30,42KX0JJRN,102.8038,548.6
2025-06-30,ACWFGJ6SW,98.1009,65.6
2025-06-30,PPDQ0XYS2,93.4341,85.7
2025-06-30,PSX36784P,95.2782,94.9
2025-06-30,9FYHXS77C,100.6472,492.6
2025-06-30,VK4YN4WS3,97.994,76.2
2025-06-30,7Y376AS3A,97.8183,140.8
2025-06-30,H0HGFB0NV,96.372,149.2
2025-06-30,BPP99K7JP,93.6344,220.9
2025-06-30,P1QZ2N1GW,92.1805,448.7
2025-06-30,EKZ7PYHFP,89.9543,178.3
2025-06-30,RVV4PF374,89.6898,344.3
2025-06-30,9G5QIVWML,91.045,205.7
2025-06-30,W77COTA0A,91.47,252.5
2025-06-30,3JGH5S75L,96.1489,589.3
2025-06-30,PAN8DGGZO,102.7368,99.9
2025-06-30,ZWM2G6B6P,106.8008,54.9
2025-06-30,N7Z68G2BD,98.4751,140.7
2025-06-30,VHF93XHZ7,97.7351,279.9
2025-06-30,DV872TCVX,100.8269,138.0
2025-06-30,7RRU96WRX,100.2389,58.0
2025-06-30,CUME7DYT1,103.646,75.7
2025-06-30,DQ7IE0FTV,102.2554,140.4
2025-06-30,3QPGK1A7G,103.3798,67.5
2025-06-30,QSGQCVL0P,99.6787,327.8
2025-06-30,XWRWGY7W4,95.3167,97.6
2025-06-30,TFYI3F2JS,100.7348,82.0
2025-06-30,TX6WM71BU,96.4933,444.1
2025-06-30,RYHSQ0LD6,95.9013,96.0
2025-06-30,F4996VZB3,98.9172,66.0
2025-06-30,SQUBO2P2A,103.0791,78.9
2025-06-30,0U2V1O3GA,98.9327,81.2
2025-06-30,YTQS0JLHJ,96.9695,36.5
2025-06-30,QZMZEQYUV,99.3999,51.3
2025-06-30,JCEEYST39,95.9338,36.9
2025-06-30,MBL9ZSN6D,94.7234,39.9
2025-06-30,9QXT5L32T,102.8716,59.8
2025-06-30,CHXDACEZ1,102.3245,77.9
2025-06-30,JGB673A1M,106.0403,78.3
2025-06-30,NLP599VY4,95.5387,85.9
2025-06-30,BRN4YWM4W,98.4733,134.5
2025-06-30,QUSNB5HND,101.1205,101.2
2025-07-31,SFWOSNOWG,95.1579,7.4
2025-07-31,70PTTP6WP,97.3353,1.2
2025-07-31,1060VXN0Z,97.6952,4.3
2025-07-31,AMZ82XUGQ,105.2089,8.1
2025-07-31,3QHXPR1U3,97.8172,3.7
2025-07-31,Z0P1QUO3L,101.8735,3.7
2025-07-31,516Y1ZY06,98.9543,1.7
2025-07-31,JL7ZH6V32,98.5129,6.0
2025-07-31,Q14AFA9CM,96.7047,90.4
2025-07-31,IQ9KFUKG1,101.3271,309.4
2025-07-31,UDV04Q028,100.7787,290.1
2025-07-31,M851Y65ZE,99.3367,516.1
2025-07-31,1AMUISU25,103.1761,119.3
2025-07-31,FH5KSL4JL,102.3102,52.3
2025-07-31,H35A0KKW1,100.2868,57.0
2025-07-31,A0ETNRG33,96.77,490.9
2025-07-31,J723UFW32,99.9255,156.6
2025-07-31,F5ZXP22RK,101.0439,154.5
2025-07-31,0X3DQ57DL,97.4398,123.9
2025-07-31,BU1B58UOJ,100.5806,124.3
2025-07-31,GWIADZLNM,99.5352,124.1
2025-07-31,77AC83R7N,103.1835,51.4
2025-07-31,2W39AEZXG,106.7533,133.9
2025-07-31,EPS5OVW1R,96.6899,83.6
2025-07-31,57FALF6HP,92.6672,274.8
2025-07-31,GH963PM7A,99.9304,78.5
2025-07-31,T4Q2CGF9M,104.0237,96.5
2025-07-31,F7G76ZDFS,91.9684,412.5
2025-07-31,M76L42UT4,97.9932,84.9
2025-07-31,SDW8SJ686,103.1773,90.6
2025-07-31,XHETACNP9,103.8263,96.5
2025-07-31,VWN1AXARW,99.8517,88.7
2025-07-31,42KX0JJRN,102.1046,545.9
2025-07-31,ACWFGJ6SW,97.7568,65.2
2025-07-31,PPDQ0XYS2,93.281,86.5
2025-07-31,PSX36784P,95.0298,94.7
2025-07-31,SWAH8C2NH,100.4204,57.6
2025-07-31,9FYHXS77C,102.493,492.2
2025-07-31,VK4YN4WS3,99.3905,76.4
2025-07-31,7Y376AS3A,100.2762,140.0
2025-07-31,H0HGFB0NV,97.0488,147.3
2025-07-31,BPP99K7JP,93.4693,223.2
2025-07-31,EKZ7PYHFP,89.8884,175.9
2025-07-31,RVV4PF374,89.7267,347.5
2025-07-31,9G5QIVWML,90.3939,202.7
2025-07-31,W77COTA0A,91.0126,255.2
2025-07-31,3JGH5S75L,96.4483,595.2
2025-07-31,ZWM2G6B6P,107.1997,54.2
2025-07-31,N7Z68G2BD,98.7619,142.7
2025-07-31,VHF93XHZ7,95.8436,281.6
2025-07-31,DV872TCVX,101.0933,136.3
2025-07-31,7RRU96WRX,102.0304,58.7
2025-07-31,CUME7DYT1,104.4338,75.8
2025-07-31,DQ7IE0FTV,103.5161,138.4
2025-07-31,3QPGK1A7G,103.0855,67.2
2025-07-31,QSGQCVL0P,101.3441,323.0
2025-07-31,XWRWGY7W4,96.2355,98.3
2025-07-31,TFYI3F2JS,101.8122,82.3
2025-07-31,TX6WM71BU,94.9366,445.5
2025-07-31,RYHSQ0LD6,97.1657,96.0
2025-07-31,F4996VZB3,99.6242,65.2
2025-07-31,SQUBO2P2A,104.1288,78.9
2025-07-31,0U2V1O3GA,97.9759,81.8
2025-07-31,YTQS0JLHJ,96.8346,36.7
2025-07-31,QZMZEQYUV,101.2786,50.7
2025-07-31,JCEEYST39,94.2802,36.6
2025-07-31,MBL9ZSN6D,94.9746,39.9
2025-07-31,9QXT5L32T,103.3706,59.1
2025-07-31,CHXDACEZ1,102.0221,76.9
2025-07-31,JGB673A1M,104.3913,79.4
2025-07-31,NLP599VY4,95.7236,86.7
2025-07-31,BRN4YWM4W,99.3846,134.7
2025-07-31,QUSNB5HND,101.7607,102.2
2025-08-31,SFWOSNOWG,94.4868,7.4
2025-08-31,70PTTP6WP,97.2755,1.2
2025-08-31,1060VXN0Z,97.2573,4.2
2025-08-31,AMZ82XUGQ,105.9344,8.1
2025-08-31,3QHXPR1U3,98.5733,3.7
2025-08-31,Z0P1QUO3L,102.1705,3.7
2025-08-31,516Y1ZY06,98.6521,1.7
2025-08-31,JL7ZH6V32,97.6752,6.0
2025-08-31,Q14AFA9CM,98.0416,91.7
2025-08-31,IQ9KFUKG1,101.3787,308.7
2025-08-31,UDV04Q028,100.8251,292.6
2025-08-31,M851Y65ZE,99.6181,516.0
2025-08-31,1AMUISU25,103.3027,118.6
2025-08-31,FH5KSL4JL,102.1437,52.6
2025-08-31,H35A0KKW1,102.1929,56.3
2025-08-31,A0ETNRG33,96.6678,487.8
2025-08-31,J723UFW32,101.2523,158.0
2025-08-31,F5ZXP22RK,100.86,154.6
2025-08-31,BU1B58UOJ,100.9445,125.7
